,precision,recall,f1-score,support
cat,0.58,0.82,0.68,262
dog,0.59,0.40,0.47,249
panda,0.89,0.80,0.84,239
avg/total,0.68,0.67,0.66,750
,precision,recall,f1-score,support
cat,0.67,0.63,0.65,262
dog,0.59,0.65,0.62,249
panda,0.89,0.85,0.87,239
avg/total,0.71,0.71,0.71,750
,precision,recall,f1-score,support
cat,0.71,0.51,0.60,262
dog,0.56,0.73,0.63,249
panda,0.85,0.84,0.85,239
avg/total,0.70,0.69,0.69,750
