,precision,recall,f1-score,support
cat,0.83,0.51,0.63,262
dog,0.64,0.83,0.72,249
panda,0.85,0.95,0.9,239
avg/total,0.78,0.76,0.75,750
,precision,recall,f1-score,support
cat,0.76,0.56,0.65,262
dog,0.64,0.68,0.66,249
panda,0.80,0.96,0.87,239
avg/total,0.73,0.73,0.72,750
,precision,recall,f1-score,support
cat,0.78,0.61,0.69,262
dog,0.65,0.72,0.69,249
panda,0.84,0.94,0.89,239
avg/total,0.76,0.75,0.75,750
