,precision,recall,f1-score,support
cat,0.84,0.45,0.59,262
dog,0.60,0.84,0.70,249
panda,0.86,0.95,0.90,239
avg/total,0.77,0.74,0.72,750
,precision,recall,f1-score,support
cat,0.76,0.50,0.60,262
dog,0.59,0.82,0.68,249
panda,0.93,0.90,0.91,239
avg/total,0.76,0.73,0.73,750
