,precision,recall,f1-score,support
cat,0.56,0.61,0.58,262
dog,0.49,0.53,0.51,249
panda,0.92,0.74,0.82,239
avg/total,0.65,0.63,0.63,750
,precision,recall,f1-score,support
cat,0.71,0.69,0.70,262
dog,0.65,0.66,0.65,249
panda,0.91,0.93,0.92,239
avg/total,0.75,0.75,0.75,750
