,precision,recall,f1-score,support
cat,0.67,0.66,0.67,262
dog,0.59,0.67,0.63,249
panda,0.91,0.80,0.85,239
avg/total,0.72,0.71,0.71,750
,precision,recall,f1-score,support
cat,0.71,0.65,0.68,262
dog,0.64,0.55,0.59,249
panda,0.72,0.90,0.80,239
avg/total,0.69,0.69,0.69,750
,precision,recall,f1-score,support
cat,0.67,0.75,0.71,262
dog,0.64,0.60,0.62,249
panda,0.88,0.82,0.85,239
avg/total,0.72,0.72,0.72,750
