,precision,recall,f1-score,support
cat,0.68,0.62,0.65,262
dog,0.55,0.68,0.61,249
panda,0.92,0.78,0.84,239
avg/total,0.71,0.69,0.70,750
,precision,recall,f1-score,support
cat,0.70,0.57,0.63,262
dog,0.57,0.72,0.64,249
panda,0.90,0.83,0.87,239
avg/total,0.72,0.70,0.71,750
